Isolate,County,City,State,Region,Fungicide_History,Year,Species
Czm_21_240,,Seaford,DE,Southeast,,2021,C. zeae-maydis
Czm_21_241,,Seaford,DE,Southeast,,2021,C. zeae-maydis
Czm_21_242,,Nicholas,NY,Northeast,,2021,C. zeae-maydis
Czm_21_243,,Nicholas,NY,Northeast,,2021,C. zeae-maydis
Czm_21_244,,Nicholas,NY,Northeast,,2021,C. zeae-maydis
Czm_21_245,,Fayette,KY,Southeast,No,2021,C. zeae-maydis
Czm_21_246,,Fayette,KY,Southeast,No,2021,C. zeae-maydis
Czm_21_247,,Fayette,KY,Southeast,No,2021,C. zeae-maydis
Czm_21_248,,Fayette,KY,Southeast,No,2021,C. zeae-maydis
Czm_21_249,,Fayette,KY,Southeast,No,2021,C. zeae-maydis
Czm_21_250,,Chatham-Kent,Canada,Canada,No,2021,C. zeae-maydis
Czm_21_251,,Chatham-Kent,Canada,Canada,No,2021,C. zeae-maydis
Czm_21_252,,Chatham-Kent,Canada,Canada,No,2021,C. zeae-maydis
Czm_21_253,,Chatham-Kent,Canada,Canada,No,2021,C. zeae-maydis
Czm_21_254,,Chatham-Kent,Canada,Canada,No,2021,C. zeae-maydis
GLS_20_6,Carroll,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_7,Cass,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_8,Clinton,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_11A,Dekalb,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_11B,Dekalb,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_13A,Elkhart,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_13B,Elkhart,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_14,Fountain,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_18,Jasper,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_20A,Knox,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_20B,Knox,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_31,Posey,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_32,Ripley,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_37A,St. Joseph,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_37B,St. Joseph,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_38,Starke,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_40A,Switzerland,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_40B,Switzerland,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_44A,Warren,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_44B,Warren,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_46,White,,IN,Midwest,,2020,C. cf. flagellaris
GLS_20_62A,,Stromsburg,NE,Midwest,Other,2020,C. cf. flagellaris
GLS_20_62B,,Stromsburg,NE,Midwest,Other,2020,C. cf. flagellaris
GLS_20_63,,Pargon,IL,Midwest,No,2020,C. cf. flagellaris
GLS_20_64,,Branch,MI,Midwest,,2020,C. cf. flagellaris
GLS_20_69,,Saint Henry,OH,Midwest,No,2020,C. cf. flagellaris
GLS_20_70,,Celina,OH,Midwest,,2020,C. cf. flagellaris
GLS_20_72,,Elkton,MD,Northeast,Other,2020,C. cf. flagellaris
GLS_20_75,,Ackley,IA,Midwest,No,2020,C. cf. flagellaris
GLS_20_79,,Bells,TN,Southeast,,2020,C. cf. flagellaris
