"","Isolate","Set","rep","ppm","one","two","average_length","avgC","relative"
"693","Czm_20_75","1",1,20,1,1,0,3.755,0
"694","Czm_20_75","1",2,0,4.61,4.84,3.725,3.755,0.992010652463382
"695","Czm_20_75","1",2,0.01,4.32,4.87,3.595,3.755,0.957390146471372
"696","Czm_20_75","1",2,0.1,8.27,8.16,7.215,3.755,1.92143808255659
"697","Czm_20_75","1",2,0.5,4.81,5.14,3.975,3.755,1.05858854860186
"698","Czm_20_75","1",2,1,1.92,2.47,1.195,3.755,0.318242343541944
"699","Czm_20_75","1",2,2.5,1.54,1.7,0.62,3.755,0.165113182423435
"700","Czm_20_75","1",2,5,1,1,0,3.755,0
"701","Czm_20_75","1",2,10,1,1,0,3.755,0
"702","Czm_20_75","1",2,20,1,1,0,3.755,0
"703","Czm_20_76","1",1,0,5.31,6.26,4.785,4.3375,1.10317002881844
"704","Czm_20_76","1",1,0.01,5.16,4.02,3.59,4.3375,0.827665706051873
"705","Czm_20_76","1",1,0.1,4.27,4.96,3.615,4.3375,0.83342939481268
"706","Czm_20_76","1",1,0.5,4.12,3.22,2.67,4.3375,0.615561959654179
"707","Czm_20_76","1",1,1,1.63,1.73,0.68,4.3375,0.156772334293948
"708","Czm_20_76","1",1,2.5,1,1,0,4.3375,0
"709","Czm_20_76","1",1,5,1,1,0,4.3375,0
"710","Czm_20_76","1",1,10,1,1,0,4.3375,0
"711","Czm_20_76","1",1,20,1,1,0,4.3375,0
"712","Czm_20_76","1",2,0,5.22,4.56,3.89,4.3375,0.896829971181556
"713","Czm_20_76","1",2,0.01,6,5.09,4.545,4.3375,1.0478386167147
"714","Czm_20_76","1",2,0.1,4.39,4.14,3.265,4.3375,0.752737752161383
"715","Czm_20_76","1",2,0.5,3.41,3.42,2.415,4.3375,0.556772334293948
"716","Czm_20_76","1",2,1,1.68,1.49,0.585,4.3375,0.134870317002882
"717","Czm_20_76","1",2,2.5,1,1,0,4.3375,0
"718","Czm_20_76","1",2,5,1,1,0,4.3375,0
"719","Czm_20_76","1",2,10,1,1,0,4.3375,0
"720","Czm_20_76","1",2,20,1,1,0,4.3375,0
