"","Isolate","Set","rep","ppm","one","two","average_length","avgC","relative"
"857","Czm_20_86","1",2,0.01,8.98,8.53,7.755,8.035,0.965152457996266
"858","Czm_20_86","1",2,0.1,6.71,6.42,5.565,8.035,0.692594897324207
"859","Czm_20_86","1",2,0.5,3.29,4.19,2.74,8.035,0.341008089607965
"860","Czm_20_86","1",2,1,2.16,2.34,1.25,8.035,0.15556938394524
"861","Czm_20_86","1",2,2.5,1.35,1.03,0.19,8.035,0.0236465463596764
"862","Czm_20_86","1",2,5,1,1,0,8.035,0
"863","Czm_20_86","1",2,10,1,1,0,8.035,0
"864","Czm_20_86","1",2,20,1,1,0,8.035,0
"865","Czm_20_87","1",1,0,4.89,4.57,3.73,3.4025,1.09625275532697
"866","Czm_20_87","1",1,0.01,5.23,5.56,4.395,3.4025,1.29169728141073
"867","Czm_20_87","1",1,0.1,4.7,4.98,3.84,3.4025,1.12858192505511
"868","Czm_20_87","1",1,0.5,2.28,2.35,1.315,3.4025,0.386480529022777
"869","Czm_20_87","1",1,1,2.57,2.26,1.415,3.4025,0.415870683321087
"870","Czm_20_87","1",1,2.5,1,1,0,3.4025,0
"871","Czm_20_87","1",1,5,1,1,0,3.4025,0
"872","Czm_20_87","1",1,10,1,1,0,3.4025,0
"873","Czm_20_87","1",1,20,1,1,0,3.4025,0
"874","Czm_20_87","1",2,0,4.16,3.99,3.075,3.4025,0.903747244673034
"875","Czm_20_87","1",2,0.01,3.84,4.78,3.31,3.4025,0.972814107274063
"876","Czm_20_87","1",2,0.1,5.17,4.76,3.965,3.4025,1.16531961792799
"877","Czm_20_87","1",2,0.5,2.49,2.24,1.365,3.4025,0.401175606171932
"878","Czm_20_87","1",2,1,1.88,1.44,0.66,3.4025,0.193975018368846
"879","Czm_20_87","1",2,2.5,1,1,0,3.4025,0
"880","Czm_20_87","1",2,5,1,1,0,3.4025,0
"881","Czm_20_87","1",2,10,1,1,0,3.4025,0
"882","Czm_20_87","1",2,20,1,1,0,3.4025,0
"883","Czm_20_88","1",1,0,6.47,7.23,5.85,6.575,0.889733840304182
"884","Czm_20_88","1",1,0.01,5.34,4.79,4.065,6.575,0.618250950570342
"885","Czm_20_88","1",1,0.1,4.53,4.34,3.435,6.575,0.522433460076046
"886","Czm_20_88","1",1,0.5,2.14,1.47,0.805,6.575,0.122433460076046
"887","Czm_20_88","1",1,1,1.95,1.75,0.85,6.575,0.129277566539924
"888","Czm_20_88","1",1,2.5,1.41,1.88,0.645,6.575,0.0980988593155894
"889","Czm_20_88","1",1,5,1,1,0,6.575,0
"890","Czm_20_88","1",1,10,1,1,0,6.575,0
"891","Czm_20_88","1",1,20,1,1,0,6.575,0
"892","Czm_20_88","1",2,0,8.19,8.41,7.3,6.575,1.11026615969582
"893","Czm_20_88","1",2,0.01,6.08,6.8,5.44,6.575,0.827376425855513
"894","Czm_20_88","1",2,0.1,5,4.49,3.745,6.575,0.56958174904943
"895","Czm_20_88","1",2,0.5,2.68,2.32,1.5,6.575,0.228136882129278
"896","Czm_20_88","1",2,1,1.47,1.34,0.405,6.575,0.0615969581749049
"897","Czm_20_88","1",2,2.5,1.54,1.19,0.365,6.575,0.0555133079847909
"898","Czm_20_88","1",2,5,1,1,0,6.575,0
"899","Czm_20_88","1",2,10,1,1,0,6.575,0
"900","Czm_20_88","1",2,20,1,1,0,6.575,0
"901","Czm_20_89","1",1,0,5.53,4.85,4.19,4.44,0.943693693693694
"902","Czm_20_89","1",1,0.01,4.94,5.09,4.015,4.44,0.90427927927928
"903","Czm_20_89","1",1,0.1,4.37,4.31,3.34,4.44,0.752252252252252
"904","Czm_20_89","1",1,0.5,1.96,2.06,1.01,4.44,0.227477477477477
"905","Czm_20_89","1",1,1,2.06,1.83,0.945,4.44,0.212837837837838
"906","Czm_20_89","1",1,2.5,1,1,0,4.44,0
"907","Czm_20_89","1",1,5,1,1,0,4.44,0
"908","Czm_20_89","1",1,10,1,1,0,4.44,0
"909","Czm_20_89","1",1,20,1,1,0,4.44,0
"910","Czm_20_89","1",2,0,4.83,6.55,4.69,4.44,1.05630630630631
"911","Czm_20_89","1",2,0.01,5.01,4.28,3.645,4.44,0.820945945945946
"912","Czm_20_89","1",2,0.1,5.31,5,4.155,4.44,0.935810810810811
"913","Czm_20_89","1",2,0.5,2.74,2.59,1.665,4.44,0.375
"914","Czm_20_89","1",2,1,2.08,1.98,1.03,4.44,0.231981981981982
"915","Czm_20_89","1",2,2.5,1,1,0,4.44,0
"916","Czm_20_89","1",2,5,1,1,0,4.44,0
"917","Czm_20_89","1",2,10,1,1,0,4.44,0
"918","Czm_20_89","1",2,20,1,1,0,4.44,0
"919","Czm_20_90","1",1,0,9.85,10.24,9.045,9.535,0.94861038280021
"920","Czm_20_90","1",1,0.01,11.62,11.11,10.365,9.535,1.08704771893026
"921","Czm_20_90","1",1,0.1,9.31,7.79,7.55,9.535,0.791819611955952
"922","Czm_20_90","1",1,0.5,3.05,1.93,1.49,9.535,0.156266386995281
"923","Czm_20_90","1",1,1,1.8,1.29,0.545,9.535,0.0571578395385422
"924","Czm_20_90","1",1,2.5,1,1,0,9.535,0
"925","Czm_20_90","1",1,5,1,1,0,9.535,0
"926","Czm_20_90","1",1,10,1,1,0,9.535,0
"927","Czm_20_90","1",1,20,1,1,0,9.535,0
"928","Czm_20_90","1",2,0,11.18,10.87,10.025,9.535,1.05138961719979
"929","Czm_20_90","1",2,0.01,9.17,9.96,8.565,9.535,0.898269533298375
"930","Czm_20_90","1",2,0.1,8.37,8.14,7.255,9.535,0.760880964866282
"931","Czm_20_90","1",2,0.5,2.19,3.38,1.785,9.535,0.18720503408495
"932","Czm_20_90","1",2,1,1.04,1.04,0.04,9.535,0.00419507079181962
"933","Czm_20_90","1",2,2.5,1,1,0,9.535,0
"934","Czm_20_90","1",2,5,1,1,0,9.535,0
"935","Czm_20_90","1",2,10,1,1,0,9.535,0
"936","Czm_20_90","1",2,20,1,1,0,9.535,0
"937","Czm_20_91","1",1,0,6.25,5.35,4.8,4.695,1.0223642172524
"938","Czm_20_91","1",1,0.01,9.45,8.91,8.18,4.695,1.74227902023429
"939","Czm_20_91","1",1,0.1,7.12,6.12,5.62,4.695,1.19701810436635
"940","Czm_20_91","1",1,0.5,2.99,2.93,1.96,4.695,0.417465388711395
"941","Czm_20_91","1",1,1,1.77,1.55,0.66,4.695,0.140575079872204
"942","Czm_20_91","1",1,2.5,1,1,0,4.695,0
"943","Czm_20_91","1",1,5,1,1,0,4.695,0
"944","Czm_20_91","1",1,10,1,1,0,4.695,0
"945","Czm_20_91","1",1,20,1,1,0,4.695,0
"946","Czm_20_91","1",2,0,5.53,5.65,4.59,4.695,0.977635782747604
"947","Czm_20_91","1",2,0.01,8.9,9.16,8.03,4.695,1.71033013844515
"948","Czm_20_91","1",2,0.1,4.52,5.72,4.12,4.695,0.877529286474973
"949","Czm_20_91","1",2,0.5,2.05,2.61,1.33,4.695,0.283280085197018
"950","Czm_20_91","1",2,1,1.28,1.13,0.205,4.695,0.0436634717784878
"951","Czm_20_91","1",2,2.5,1,1,0,4.695,0
"952","Czm_20_91","1",2,5,1,1,0,4.695,0
"953","Czm_20_91","1",2,10,1,1,0,4.695,0
"954","Czm_20_91","1",2,20,1,1,0,4.695,0
"955","Czm_20_92","1",1,0,6.59,5.16,4.875,5.6425,0.863978732831192
"956","Czm_20_92","1",1,0.01,5.63,6.64,5.135,5.6425,0.910057598582189
"957","Czm_20_92","1",1,0.1,4.98,5.87,4.425,5.6425,0.78422684980062
"958","Czm_20_92","1",1,0.5,2.1,2.63,1.365,5.6425,0.241914045192734
"959","Czm_20_92","1",1,1,2.27,2.14,1.205,5.6425,0.213557820115197
"960","Czm_20_92","1",1,2.5,2,1.75,0.875,5.6425,0.155073105892778
"961","Czm_20_92","1",1,5,1,1,0,5.6425,0
"962","Czm_20_92","1",1,10,1,1,0,5.6425,0
"963","Czm_20_92","1",1,20,1,1,0,5.6425,0
"964","Czm_20_92","1",2,0,6.87,7.95,6.41,5.6425,1.13602126716881
"965","Czm_20_92","1",2,0.01,5.38,5.99,4.685,5.6425,0.830305715551617
"966","Czm_20_92","1",2,0.1,4.94,5.19,4.065,5.6425,0.720425343376163
"967","Czm_20_92","1",2,0.5,2.54,2.58,1.56,5.6425,0.276473194505981
"968","Czm_20_92","1",2,1,2.24,1.91,1.075,5.6425,0.190518387239699
"969","Czm_20_92","1",2,2.5,1.2,1.16,0.18,5.6425,0.0319007532122286
"970","Czm_20_92","1",2,5,1,1,0,5.6425,0
"971","Czm_20_92","1",2,10,1,1,0,5.6425,0
"972","Czm_20_92","1",2,20,1,1,0,5.6425,0
"973","Czm_20_93","1",1,0,14.29,13.14,12.715,13.2725,0.957995856093426
"974","Czm_20_93","1",1,0.01,14.83,13.95,13.39,13.2725,1.00885289131663
"975","Czm_20_93","1",1,0.1,8.93,7.89,7.41,13.2725,0.558297231116971
"976","Czm_20_93","1",1,0.5,4.33,3.48,2.905,13.2725,0.218873610849501
"977","Czm_20_93","1",1,1,1.59,1.39,0.49,13.2725,0.0369184403842532
"978","Czm_20_93","1",1,2.5,1,1,0,13.2725,0
"979","Czm_20_93","1",1,5,1,1,0,13.2725,0
"980","Czm_20_93","1",1,10,1,1,0,13.2725,0
"981","Czm_20_93","1",1,20,1,1,0,13.2725,0
"982","Czm_20_93","1",2,0,13.81,15.85,13.83,13.2725,1.04200414390657
"983","Czm_20_93","1",2,0.01,10.65,10.74,9.695,13.2725,0.730457713317009
"984","Czm_20_93","1",2,0.1,10.75,9.21,8.98,13.2725,0.676586927858354
"985","Czm_20_93","1",2,0.5,3.91,2.94,2.425,13.2725,0.18270860802411
"986","Czm_20_93","1",2,1,2.61,1.7,1.155,13.2725,0.0870220380485967
"987","Czm_20_93","1",2,2.5,1,1,0,13.2725,0
"988","Czm_20_93","1",2,5,1,1,0,13.2725,0
"989","Czm_20_93","1",2,10,1,1,0,13.2725,0
"990","Czm_20_93","1",2,20,1,1,0,13.2725,0
"991","Czm_20_94","1",1,0,6.64,7.45,6.045,6.6375,0.910734463276836
"992","Czm_20_94","1",1,0.01,9.08,8.53,7.805,6.6375,1.1758945386064
"993","Czm_20_94","1",1,0.1,7.85,8.81,7.33,6.6375,1.10433145009416
"994","Czm_20_94","1",1,0.5,5.3,4.99,4.145,6.6375,0.624482109227872
"995","Czm_20_94","1",1,1,3.24,2.49,1.865,6.6375,0.280979284369115
"996","Czm_20_94","1",1,2.5,1.86,1.64,0.75,6.6375,0.112994350282486
"997","Czm_20_94","1",1,5,1,1,0,6.6375,0
"998","Czm_20_94","1",1,10,1,1,0,6.6375,0
"999","Czm_20_94","1",1,20,1,1,0,6.6375,0
"1000","Czm_20_94","1",2,0,8.83,7.63,7.23,6.6375,1.08926553672316
"1001","Czm_20_94","1",2,0.01,9.98,9.59,8.785,6.6375,1.32354048964218
"1002","Czm_20_94","1",2,0.1,8.47,9.24,7.855,6.6375,1.1834274952919
"1003","Czm_20_94","1",2,0.5,6.6,6.74,5.67,6.6375,0.854237288135593
"1004","Czm_20_94","1",2,1,2.4,3.19,1.795,6.6375,0.270433145009416
"1005","Czm_20_94","1",2,2.5,1.84,1.02,0.43,6.6375,0.0647834274952919
"1006","Czm_20_94","1",2,5,1,1,0,6.6375,0
"1007","Czm_20_94","1",2,10,1,1,0,6.6375,0
"1008","Czm_20_94","1",2,20,1,1,0,6.6375,0
"1009","Czm_20_95","1",1,0,5.22,6.54,4.88,6.425,0.759533073929961
"1010","Czm_20_95","1",1,0.01,8.31,9.98,8.145,6.425,1.26770428015564
"1011","Czm_20_95","1",1,0.1,9.59,9.46,8.525,6.425,1.32684824902724
"1012","Czm_20_95","1",1,0.5,2.69,2.94,1.815,6.425,0.282490272373541
"1013","Czm_20_95","1",1,1,1.48,1.79,0.635,6.425,0.0988326848249027
"1014","Czm_20_95","1",1,2.5,2.07,2.01,1.04,6.425,0.161867704280156
"1015","Czm_20_95","1",1,5,1,1,0,6.425,0
"1016","Czm_20_95","1",1,10,1,1,0,6.425,0
"1017","Czm_20_95","1",1,20,1,1,0,6.425,0
"1018","Czm_20_95","1",2,0,9.05,8.89,7.97,6.425,1.24046692607004
"1019","Czm_20_95","1",2,0.01,5.25,5.74,4.495,6.425,0.699610894941634
"1020","Czm_20_95","1",2,0.1,9.89,9.99,8.94,6.425,1.39143968871595
"1021","Czm_20_95","1",2,0.5,4.81,4.4,3.605,6.425,0.561089494163424
"1022","Czm_20_95","1",2,1,1.63,1.34,0.485,6.425,0.0754863813229572
"1023","Czm_20_95","1",2,2.5,1.52,1.44,0.48,6.425,0.0747081712062257
"1024","Czm_20_95","1",2,5,1,1,0,6.425,0
"1025","Czm_20_95","1",2,10,1,1,0,6.425,0
"1026","Czm_20_95","1",2,20,1,1,0,6.425,0
"1027","Czm_20_96","1",1,0,8.26,8.58,7.42,8.935,0.830442081701175
"1028","Czm_20_96","1",1,0.01,6.65,7.11,5.88,8.935,0.658086177951875
"1029","Czm_20_96","1",1,0.1,6.53,6.3,5.415,8.935,0.606043648573028
"1030","Czm_20_96","1",1,0.5,3.12,3.84,2.48,8.935,0.277560156687185
"1031","Czm_20_96","1",1,1,2.82,2.92,1.87,8.935,0.209289311695579
"1032","Czm_20_96","1",1,2.5,1,1,0,8.935,0
"1033","Czm_20_96","1",1,5,1,1,0,8.935,0
"1034","Czm_20_96","1",1,10,1,1,0,8.935,0
"1035","Czm_20_96","1",1,20,1,1,0,8.935,0
"1036","Czm_20_96","1",2,0,11.41,11.49,10.45,8.935,1.16955791829882
"1037","Czm_20_96","1",2,0.01,6.51,8.95,6.73,8.935,0.753217683268047
"1038","Czm_20_96","1",2,0.1,7.07,6.42,5.745,8.935,0.642977056519306
"1039","Czm_20_96","1",2,0.5,4.89,3.42,3.155,8.935,0.353105763850028
"1040","Czm_20_96","1",2,1,3.26,3.01,2.135,8.935,0.238947957470621
"1041","Czm_20_96","1",2,2.5,1,1,0,8.935,0
"1042","Czm_20_96","1",2,5,1,1,0,8.935,0
"1043","Czm_20_96","1",2,10,1,1,0,8.935,0
"1044","Czm_20_96","1",2,20,1,1,0,8.935,0
"1045","Czm_20_97","1",1,0,5.13,5.11,4.12,5.475,0.752511415525114
"1046","Czm_20_97","1",1,0.01,6.2,4.76,4.48,5.475,0.818264840182649
"1047","Czm_20_97","1",1,0.1,5.85,4.73,4.29,5.475,0.783561643835617
"1048","Czm_20_97","1",1,0.5,3.23,3.13,2.18,5.475,0.398173515981735
"1049","Czm_20_97","1",1,1,1.31,1.01,0.16,5.475,0.0292237442922375
"1050","Czm_20_97","1",1,2.5,1,1,0,5.475,0
"1051","Czm_20_97","1",1,5,1,1,0,5.475,0
"1052","Czm_20_97","1",1,10,1,1,0,5.475,0
"1053","Czm_20_97","1",1,20,1,1,0,5.475,0
"1054","Czm_20_97","1",2,0,7.66,8,6.83,5.475,1.24748858447489
"1055","Czm_20_97","1",2,0.01,4.88,4.75,3.815,5.475,0.696803652968036
"1056","Czm_20_97","1",2,0.1,4.98,4.63,3.805,5.475,0.694977168949772
"1057","Czm_20_97","1",2,0.5,1.79,1.83,0.81,5.475,0.147945205479452
"1058","Czm_20_97","1",2,1,1.1,1.81,0.455,5.475,0.0831050228310502
"1059","Czm_20_97","1",2,2.5,1,1,0,5.475,0
"1060","Czm_20_97","1",2,5,1,1,0,5.475,0
"1061","Czm_20_97","1",2,10,1,1,0,5.475,0
"1062","Czm_20_97","1",2,20,1,1,0,5.475,0
"1063","Czm_20_98","1",1,0,14.22,14.35,13.285,13.6725,0.971658438471384
"1064","Czm_20_98","1",1,0.01,17.37,17.04,16.205,13.6725,1.18522581824831
"1065","Czm_20_98","1",1,0.1,13.87,13.11,12.49,13.6725,0.913512525141708
"1066","Czm_20_98","1",1,0.5,3.95,5.3,3.625,13.6725,0.2651307368806
"1067","Czm_20_98","1",1,1,1.36,1.8,0.58,13.6725,0.042420917900896
"1068","Czm_20_98","1",1,2.5,1,1,0,13.6725,0
"1069","Czm_20_98","1",1,5,1,1,0,13.6725,0
"1070","Czm_20_98","1",1,10,1,1,0,13.6725,0
"1071","Czm_20_98","1",1,20,1,1,0,13.6725,0
"1072","Czm_20_98","1",2,0,14.33,15.79,14.06,13.6725,1.02834156152862
"1073","Czm_20_98","1",2,0.01,13.74,12.48,12.11,13.6725,0.885719509965259
"1074","Czm_20_98","1",2,0.1,13.63,13.62,12.625,13.6725,0.923386359480709
"1075","Czm_20_98","1",2,0.5,5.9,4.94,4.42,13.6725,0.323276650210276
"1076","Czm_20_98","1",2,1,1.38,1.01,0.195,13.6725,0.0142622051563357
"1077","Czm_20_98","1",2,2.5,1,1,0,13.6725,0
"1078","Czm_20_98","1",2,5,1,1,0,13.6725,0
"1079","Czm_20_98","1",2,10,1,1,0,13.6725,0
"1080","Czm_20_98","1",2,20,1,1,0,13.6725,0
"1081","Czm_20_99","1",1,0,5.4,5.7,4.55,4.485,1.01449275362319
"1082","Czm_20_99","1",1,0.01,5.37,5.07,4.22,4.485,0.940914158305463
"1083","Czm_20_99","1",1,0.1,4.12,4.63,3.375,4.485,0.752508361204013
"1084","Czm_20_99","1",1,0.5,4.2,3.49,2.845,4.485,0.634336677814939
"1085","Czm_20_99","1",1,1,1.6,1.88,0.74,4.485,0.164994425863991
"1086","Czm_20_99","1",1,2.5,1,1,0,4.485,0
"1087","Czm_20_99","1",1,5,1,1,0,4.485,0
"1088","Czm_20_99","1",1,10,1,1,0,4.485,0
"1089","Czm_20_99","1",1,20,1,1,0,4.485,0
"1090","Czm_20_99","1",2,0,5.73,5.11,4.42,4.485,0.985507246376812
"1091","Czm_20_99","1",2,0.01,5.88,5.15,4.515,4.485,1.0066889632107
"1092","Czm_20_99","1",2,0.1,4.35,5.69,4.02,4.485,0.896321070234114
"1093","Czm_20_99","1",2,0.5,1.73,2.07,0.9,4.485,0.20066889632107
"1094","Czm_20_99","1",2,1,1.42,1.33,0.375,4.485,0.0836120401337793
"1095","Czm_20_99","1",2,2.5,1,1,0,4.485,0
"1096","Czm_20_99","1",2,5,1,1,0,4.485,0
"1097","Czm_20_99","1",2,10,1,1,0,4.485,0
"1098","Czm_20_99","1",2,20,1,1,0,4.485,0
"1099","Czm_21_1","1",1,0,4.56,5.67,4.115,4.725,0.870899470899471
"1100","Czm_21_1","1",1,0.01,3.84,3.68,2.76,4.725,0.584126984126984
"1101","Czm_21_1","1",1,0.1,5.71,7.28,5.495,4.725,1.16296296296296
"1102","Czm_21_1","1",1,0.5,3.15,2.44,1.795,4.725,0.37989417989418
"1103","Czm_21_1","1",1,1,1.35,1.39,0.37,4.725,0.0783068783068783
"1104","Czm_21_1","1",1,2.5,1,1,0,4.725,0
"1105","Czm_21_1","1",1,5,1,1,0,4.725,0
"1106","Czm_21_1","1",1,10,1,1,0,4.725,0
"1107","Czm_21_1","1",1,20,1,1,0,4.725,0
"1108","Czm_21_1","1",2,0,5.78,6.89,5.335,4.725,1.12910052910053
"1109","Czm_21_1","1",2,0.01,4.94,6.41,4.675,4.725,0.98941798941799
"1110","Czm_21_1","1",2,0.1,4.9,5.17,4.035,4.725,0.853968253968254
"1111","Czm_21_1","1",2,0.5,2.61,2.15,1.38,4.725,0.292063492063492
"1112","Czm_21_1","1",2,1,1.61,1.34,0.475,4.725,0.100529100529101
"1113","Czm_21_1","1",2,2.5,1,1,0,4.725,0
"1114","Czm_21_1","1",2,5,1,1,0,4.725,0
"1115","Czm_21_1","1",2,10,1,1,0,4.725,0
"1116","Czm_21_1","1",2,20,1,1,0,4.725,0
"1117","Czm_21_100","1",1,0,7.17,5.17,5.17,4.8825,1.05888376856119
"1118","Czm_21_100","1",1,0.01,6.09,7.38,5.735,4.8825,1.17460317460317
"1119","Czm_21_100","1",1,0.1,7.55,8.84,7.195,4.8825,1.47363031233999
"1120","Czm_21_100","1",1,0.5,3.32,3.15,2.235,4.8825,0.457757296466974
"1121","Czm_21_100","1",1,1,2.27,1.85,1.06,4.8825,0.217101894521249
"1122","Czm_21_100","1",1,2.5,2.1,1.7,0.9,4.8825,0.184331797235023
"1123","Czm_21_100","1",1,5,1,1,0,4.8825,0
"1124","Czm_21_100","1",1,10,1,1,0,4.8825,0
"1125","Czm_21_100","1",1,20,1,1,0,4.8825,0
"1126","Czm_21_100","1",2,0,5.66,5.53,4.595,4.8825,0.941116231438812
"1127","Czm_21_100","1",2,0.01,4.92,4.72,3.82,4.8825,0.782386072708653
"1128","Czm_21_100","1",2,0.1,7.99,8.41,7.2,4.8825,1.47465437788018
"1129","Czm_21_100","1",2,0.5,2.87,3.4,2.135,4.8825,0.437275985663082
"1130","Czm_21_100","1",2,1,1.94,1.83,0.885,4.8825,0.181259600614439
"1131","Czm_21_100","1",2,2.5,1.66,1.8,0.73,4.8825,0.149513568868408
"1132","Czm_21_100","1",2,5,1,1,0,4.8825,0
"1133","Czm_21_100","1",2,10,1,1,0,4.8825,0
"1134","Czm_21_100","1",2,20,1,1,0,4.8825,0
"1135","Czm_21_101","1",1,0,6.6,6.72,5.66,5.68,0.996478873239437
"1136","Czm_21_101","1",1,0.01,7.91,6.35,6.13,5.68,1.07922535211268
"1137","Czm_21_101","1",1,0.1,5.71,5.83,4.77,5.68,0.839788732394366
"1138","Czm_21_101","1",1,0.5,2.27,1.94,1.105,5.68,0.194542253521127
"1139","Czm_21_101","1",1,1,1.73,1.85,0.79,5.68,0.139084507042254
"1140","Czm_21_101","1",1,2.5,1,1,0,5.68,0
"1141","Czm_21_101","1",1,5,1,1,0,5.68,0
"1142","Czm_21_101","1",1,10,1,1,0,5.68,0
"1143","Czm_21_101","1",1,20,1,1,0,5.68,0
"1144","Czm_21_101","1",2,0,6.82,6.58,5.7,5.68,1.00352112676056
"1145","Czm_21_101","1",2,0.01,5.69,6.67,5.18,5.68,0.911971830985915
"1146","Czm_21_101","1",2,0.1,6.16,6.32,5.24,5.68,0.922535211267606
"1147","Czm_21_101","1",2,0.5,2.93,1.92,1.425,5.68,0.250880281690141
"1148","Czm_21_101","1",2,1,1.97,2.03,1,5.68,0.176056338028169
"1149","Czm_21_101","1",2,2.5,1,1,0,5.68,0
"1150","Czm_21_101","1",2,5,1,1,0,5.68,0
"1151","Czm_21_101","1",2,10,1,1,0,5.68,0
"1152","Czm_21_101","1",2,20,1,1,0,5.68,0
"1153","Czm_21_102","1",1,0,7.6,6.85,6.225,6.415,0.970381917381138
"1154","Czm_21_102","1",1,0.01,7.23,7.42,6.325,6.415,0.985970381917381
"1155","Czm_21_102","1",1,0.1,7.26,6.21,5.735,6.415,0.893998441153546
"1156","Czm_21_102","1",1,0.5,1.95,2.45,1.2,6.415,0.187061574434918
"1157","Czm_21_102","1",1,1,1.59,1.8,0.695,6.415,0.10833982852689
"1158","Czm_21_102","1",1,2.5,1,1,0,6.415,0
"1159","Czm_21_102","1",1,5,1,1,0,6.415,0
"1160","Czm_21_102","1",1,10,1,1,0,6.415,0
"1161","Czm_21_102","1",1,20,1,1,0,6.415,0
"1162","Czm_21_102","1",2,0,7.84,7.37,6.605,6.415,1.02961808261886
"1163","Czm_21_102","1",2,0.01,7.54,7.67,6.605,6.415,1.02961808261886
"1164","Czm_21_102","1",2,0.1,7.08,7.64,6.36,6.415,0.991426344505066
"1165","Czm_21_102","1",2,0.5,2.95,2.79,1.87,6.415,0.291504286827747
"1166","Czm_21_102","1",2,1,2.3,2.43,1.365,6.415,0.212782540919719
"1167","Czm_21_102","1",2,2.5,1,1,0,6.415,0
"1168","Czm_21_102","1",2,5,1,1,0,6.415,0
"1169","Czm_21_102","1",2,10,1,1,0,6.415,0
"1170","Czm_21_102","1",2,20,1,1,0,6.415,0
"1171","Czm_21_103","1",1,0,6.21,6.62,5.415,5.785,0.936041486603284
"1172","Czm_21_103","1",1,0.01,6.75,6.36,5.555,5.785,0.960242005185825
"1173","Czm_21_103","1",1,0.1,5.55,5.41,4.48,5.785,0.774416594641314
"1174","Czm_21_103","1",1,0.5,2.37,2.39,1.38,5.785,0.238547968885048
"1175","Czm_21_103","1",1,1,1.29,1.43,0.36,5.785,0.0622299049265341
"1176","Czm_21_103","1",1,2.5,1.68,1.69,0.685,5.785,0.118409680207433
"1177","Czm_21_103","1",1,5,1,1,0,5.785,0
"1178","Czm_21_103","1",1,10,1,1,0,5.785,0
"1179","Czm_21_103","1",1,20,1,1,0,5.785,0
"1180","Czm_21_103","1",2,0,6.88,7.43,6.155,5.785,1.06395851339672
"1181","Czm_21_103","1",2,0.01,6.26,7.57,5.915,5.785,1.02247191011236
"1182","Czm_21_103","1",2,0.1,5.28,5.41,4.345,5.785,0.751080380293863
"1183","Czm_21_103","1",2,0.5,2.91,3,1.955,5.785,0.337942955920484
"1184","Czm_21_103","1",2,1,1.73,1.78,0.755,5.785,0.130509939498704
"1185","Czm_21_103","1",2,2.5,1.61,2.58,1.095,5.785,0.189282627484875
"1186","Czm_21_103","1",2,5,1,1,0,5.785,0
"1187","Czm_21_103","1",2,10,1,1,0,5.785,0
"1188","Czm_21_103","1",2,20,1,1,0,5.785,0
"1189","Czm_21_104","1",1,0,5.4,5.16,4.28,4.2525,1.00646678424456
"1190","Czm_21_104","1",1,0.01,5.01,5.3,4.155,4.2525,0.977072310405644
"1191","Czm_21_104","1",1,0.1,5.19,4.88,4.035,4.2525,0.948853615520282
"1192","Czm_21_104","1",1,0.5,3.03,3.32,2.175,4.2525,0.511463844797178
"1193","Czm_21_104","1",1,1,3.15,1.97,1.56,4.2525,0.3668430335097
"1194","Czm_21_104","1",1,2.5,1,1,0,4.2525,0
"1195","Czm_21_104","1",1,5,1,1,0,4.2525,0
"1196","Czm_21_104","1",1,10,1,1,0,4.2525,0
"1197","Czm_21_104","1",1,20,1,1,0,4.2525,0
"1198","Czm_21_104","1",2,0,5.55,4.9,4.225,4.2525,0.993533215755438
"1199","Czm_21_104","1",2,0.01,4.62,6.32,4.47,4.2525,1.05114638447972
"1200","Czm_21_104","1",2,0.1,5.11,5.42,4.265,4.2525,1.00293944738389
"1201","Czm_21_104","1",2,0.5,3.22,2.68,1.95,4.2525,0.458553791887125
"1202","Czm_21_104","1",2,1,2.6,2.38,1.49,4.2525,0.350382128159906
"1203","Czm_21_104","1",2,2.5,1,1,0,4.2525,0
"1204","Czm_21_104","1",2,5,1,1,0,4.2525,0
"1205","Czm_21_104","1",2,10,1,1,0,4.2525,0
"1206","Czm_21_104","1",2,20,1,1,0,4.2525,0
"1207","Czm_21_105","1",1,0,9.76,9.65,8.705,7.6075,1.14426552744003
"1208","Czm_21_105","1",1,0.01,10.03,9.45,8.74,7.6075,1.14886625041078
"1209","Czm_21_105","1",1,0.1,10.93,9.47,9.2,7.6075,1.20933289516924
"1210","Czm_21_105","1",1,0.5,2.98,2.68,1.83,7.6075,0.24055208675649
"1211","Czm_21_105","1",1,1,1.47,1.7,0.585,7.6075,0.0768977982254354
"1212","Czm_21_105","1",1,2.5,1,1,0,7.6075,0
"1213","Czm_21_105","1",1,5,1,1,0,7.6075,0
"1214","Czm_21_105","1",1,10,1,1,0,7.6075,0
"1215","Czm_21_105","1",1,20,1,1,0,7.6075,0
"1216","Czm_21_105","1",2,0,7.59,7.43,6.51,7.6075,0.855734472559974
"1217","Czm_21_105","1",2,0.01,8.8,7.85,7.325,7.6075,0.96286559316464
"1218","Czm_21_105","1",2,0.1,7.47,8.09,6.78,7.6075,0.891225764048636
"1219","Czm_21_105","1",2,0.5,4.3,4.44,3.37,7.6075,0.442983897469602
"1220","Czm_21_105","1",2,1,2.6,2.38,1.49,7.6075,0.195859349326323
"1221","Czm_21_105","1",2,2.5,1,1,0,7.6075,0
"1222","Czm_21_105","1",2,5,1,1,0,7.6075,0
"1223","Czm_21_105","1",2,10,1,1,0,7.6075,0
