Isolate,Date,MIC_ppm
Czm_21_160,4/7/2022,1
Czm_21_161,4/7/2022,2.5
Czm_21_162,4/7/2022,5
Czm_21_163,4/7/2022,2.5
Czm_21_168,4/7/2022,2.5
Czm_21_169,4/7/2022,2.5
Czm_21_172,4/7/2022,2.5
Czm_21_174,4/21/2022,2.5
Czm_21_178,4/7/2022,2.5
Czm_21_180,4/28/2022,5
Czm_21_181,4/7/2022,2.5
Czm_21_182,4/7/2022,2.5
Czm_21_183,4/28/2022,2.5
Czm_21_184,4/7/2022,2.5
Czm_21_185,4/7/2022,2.5
Czm_21_186,4/7/2022,1
Czm_21_189,4/7/2022,5
Czm_21_190,4/7/2022,2.5
Czm_21_191,4/7/2022,1
Czm_21_192,4/7/2022,5
Czm_21_193,4/7/2022,2.5
Czm_21_195,4/7/2022,2.5
Czm_21_196,4/21/2022,2.5
Czm_21_197,4/7/2022,2.5
Czm_21_198,4/7/2022,2.5
Czm_21_199,4/7/2022,2.5
Czm_21_200,4/7/2022,1
Czm_21_201,4/7/2022,5
Czm_21_202,4/7/2022,2.5
Czm_21_203,4/7/2022,5
Czm_21_204,6/23/2022,5
Czm_21_205,4/7/2022,2.5
Czm_21_206,4/7/2022,2.5
Czm_21_207,4/21/2022,2.5
Czm_21_208,4/21/2022,5
Czm_21_209,4/21/2022,5
Czm_21_210,4/21/2022,2.5
Czm_21_212,4/21/2022,2.5
Czm_21_213,5/19/2022,2.5
Czm_21_214,4/21/2022,2.5
Czm_21_215,4/21/2022,2.5
Czm_21_216,6/16/2022,5
Czm_21_217,5/19/2022,2.5
Czm_21_218,4/21/2022,5
Czm_21_219,4/21/2022,5
Czm_21_220,4/21/2022,2.5
Czm_21_221,4/21/2022,2.5
Czm_21_222,4/21/2022,2.5
Czm_21_223,4/21/2022,2.5
Czm_21_224,4/21/2022,2.5
Czm_21_225,4/21/2022,2.5
Czm_21_226,4/28/2022,2.5
Czm_21_227,4/28/2022,2.5
Czm_21_228,4/28/2022,2.5
Czm_21_229,4/21/2022,1
Czm_21_230,4/28/2022,2.5
Czm_21_231,4/28/2022,2.5
Czm_21_232,4/28/2022,2.5
Czm_21_233,4/28/2022,5
Czm_21_234,4/21/2022,2.5
Czm_21_235,4/21/2022,2.5
Czm_21_236,4/28/2022,2.5
Czm_21_237,4/28/2022,2.5
Czm_21_238,4/21/2022,2.5
Czm_21_239,4/21/2022,2.5
Czm_21_240,4/21/2022,2.5
Czm_21_241,4/21/2022,1
Czm_21_242,4/21/2022,1
Czm_21_243,4/21/2022,1
Czm_21_244,4/21/2022,1
Czm_21_245,4/21/2022,1
Czm_21_246,4/21/2022,1
Czm_21_247,4/21/2022,2.5
Czm_21_248,4/21/2022,1
Czm_21_249,4/21/2022,2.5
Czm_21_250,4/21/2022,2.5
Czm_21_251,4/21/2022,5
Czm_21_252,4/21/2022,2.5
Czm_21_253,4/21/2022,2.5
Czm_21_254,4/21/2022,10
GLS_20_6,5/5/2022,>20
GLS_20_7,5/5/2022,>20
GLS_20_8,5/5/2022,20
GLS_20_11A,5/5/2022,20
GLS_20_11B,6/16/2022,>20
GLS_20_13A,5/5/2022,>20
GLS_20_13B,5/5/2022,>20
GLS_20_14,5/12/2022,>20
GLS_20_18,5/12/2022,>20
GLS_20_20A,5/12/2022,20
GLS_20_20B,5/12/2022,>20
GLS_20_31,5/12/2022,>20
GLS_20_32,5/12/2022,>20
GLS_20_37A,5/12/2022,>20
GLS_20_37B,5/12/2022,>20
GLS_20_38,5/12/2022,>20
GLS_20_40A,5/12/2022,20
GLS_20_40B,5/12/2022,>20
GLS_20_44A,5/12/2022,20
GLS_20_44B,5/12/2022,>20
GLS_20_46,5/12/2022,>20
GLS_20_62A,7/7/2022,>20
GLS_20_62B,5/12/2022,>20
GLS_20_63,5/19/2022,>20
GLS_20_64,5/19/2022,>20
GLS_20_69,5/19/2022,>20
GLS_20_70,5/19/2022,>20
GLS_20_72,5/19/2022,>20
GLS_20_75,5/19/2022,>20
GLS_20_79,5/19/2022,>20
GLS_20_81,5/26/2022,>20
GLS_20_82,5/19/2022,>20
GLS_20_83,5/26/2022,>20
GLS_20_89,5/19/2022,>20
GLS_20_91,5/19/2022,>20
GLS_20_93A,5/19/2022,>20
GLS_20_93B,5/19/2022,>20
GLS_20_94A,5/19/2022,20
GLS_20_94B,5/19/2022,>20
GLS_20_95A,5/19/2022,20
GLS_20_95B,5/19/2022,>20
GLS_20_95C,5/26/2022,>20
GLS_20_98A,5/19/2022,>20
GLS_20_98B,5/19/2022,>20
GLS_20_100,5/19/2022,>20
GLS_20_102,5/19/2022,>20
GLS_20_109,5/19/2022,>20
